kode;diskripsi;lokasi;merk;warna;dept;satuan;jmlawal;jmlbeli;jmljual;reorder;hpp;hrgjual1;hrgjual2;hrgjual3;jmlrbeli;jmlrjual;jmldvplus;jmldvmin;noninv;untung;ppn;lsttgl;lstven;lsttgldev;lsttglbl;lsttgljl;boxrol;koderelasi;prosen;batassup;hrgjual4;untung2;untung3;cekpakai;batas1;batas2;barcode;tglrevisi;catrevisi
ALPO-P1;ALPO PUPPY 1 KG;;;;27;KG;0;0;103;1;29250;35000;35000;35000;0;0;41;0;FALSE;19.66;0;21-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;19.66;19.66;0;0;0;ALPO-P1;03-Feb-16 06:56:29;0
SD-PSB1;SD PUPPY SMALL BITE 1 KG;;;;27;KG;0;0;118;1;53700;68000;68000;68000;0;0;52;0;FALSE;26.63;0;24-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;26.63;26.63;0;0;0;SD-PSB1;03-Feb-16 06:56:29;0
ANF-P1;ANF PUPPY 1 KG;;;;27;KG;0;0;0;1;28000;30000;30000;30000;0;0;0;0;FALSE;7.14;0;25-Aug-12;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;7.14;7.14;0;0;0;ANF-P1;03-Feb-16 06:56:29;0
APRO-P1;A PRO PUPPY 1 KG;;;;27;KG;0;0;737;1;17200;23000;23000;23000;0;0;162;0;FALSE;33.72;0;14-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;33.72;33.72;0;0;0;APRO-P1;03-Feb-16 06:56:29;0
ARTEMIS-PLB1;ARTEMIS PUPPY M / L BREED 1 KG;;;;27;KG;0;0;0;1;41000;50000;50000;50000;0;0;0;0;FALSE;21.95;0;28-May-12;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;21.95;21.95;0;0;0;ARTEMIS-PLB1;03-Feb-16 06:56:29;0
ARTEMIS-PSB1;ARTEMIS PUPPY SMALL BREED 1 KG;;;;27;KG;0;0;0;1;41000;70000;70000;70000;0;0;0;0;FALSE;70.73;0;27-Jan-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;70.73;70.73;0;0;0;ARTEMIS-PSB1;03-Feb-16 06:56:29;0
SERIES-P1;PRO SERIES PUPPY 1 KG;;;;27;KG;0;0;0;1;30000;45000;45000;45000;0;0;0;0;FALSE;50;0;30-Jun-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;50;50;0;0;0;SERIES-P1;03-Feb-16 06:56:29;0
SD-PO1;SD PUPPY ORIGINAL 1 KG;;;;27;KG;0;0;32;1;34000;58000;58000;58000;0;0;25;0;FALSE;70.59;0;10-Jan-17;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;70.59;70.59;0;0;0;SD-PO1;03-Feb-16 06:56:29;0
INUK-P1;INUKSHUK PUPPY 1 KG;;;;27;KG;0;0;0;1;33000;45000;45000;45000;0;0;0;0;FALSE;36.36;0;20-Jan-14;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;36.36;36.36;0;0;0;INUK-P1;03-Feb-16 06:56:29;0
ARTEMIS-OP1;ARTEMIS OSOPURE PUPPY 1 KG;;;;27;KG;0;0;0;1;31000;43000;43000;43000;0;0;0;0;FALSE;38.71;0;  -   -;  -   -;  -   -;  -   -;  -   -;0;;0;0;0;38.71;38.71;0;0;0;ARTEMIS-OP1;03-Feb-16 06:56:29;0
