kode;namavendor;alamat1;alamat2;kota;kodepos;telp;fax;kontak;disc;vendlimit;vend_ap;vend_ap_b;lastinv;duedays;catatan;venaktif
001;SANDY;;;JOGJA;;;;;0;0;974227134.3;0;17-Jan-17;14;;0
002;HI PET;;;JAKARTA;;;;;0;0;81553335;0;29-Nov-16;14;;0
003;OCTAGON;;;SURABAYA;;;;;0;0;51705400;0;07-Jan-17;14;;0
004;BONA PET;;;JAKARTA;;;;;0;0;36939000;0;30-Nov-16;14;;0
005;ROFACA;;;JAKARTA;;;;;0;0;24533250;0;07-Jan-17;14;;0
006;TOMMY PASIR;;;JOGJA;;;;;0;0;0;0;11-Dec-16;14;;0
007;PASIR CLUMPING;;;BANDUNG;;;;;0;0;0;0;  -   -;14;;0
008;JOE PET SHOP;;;JAKARTA;;;;;0;0;0;0;29-Oct-16;14;;0
009;WOOZ PET;;;BANDUNG;;;;;0;0;5100480;0;07-Nov-16;14;;0
010;VIRBAC;;;JAKARTA;;;;;0;0;4560000;0;12-Nov-16;14;;0
011;KALBE FARMA;;;JAKARTA;;;;;0;0;10428480;0;07-Jan-17;14;;0
012;OLEGO;;;JAKARTA;;;;;0;0;5606000;0;20-Jan-17;14;;0
013;SCIENT DIET;;;JAKARTA;;;;;0;0;0;0;08-Dec-16;14;;0
014;SPECTRA;;;JAKARTA;;;;;0;0;34941800;0;11-Jan-17;14;;0
015;ANIMALE;;;SOLO;;;;;0;0;0;0;  -   -;14;;0
016;ZAKARIAS PET;;;JAKARTA;;;;;0;0;0;0;06-Sep-16;14;;0
017;ABADY PETS;;;JAKARTA;;;;;0;0;0;0;01-Jul-16;14;;0
018;DGF;;;JOGJA;;;;;0;0;0;0;  -   -;14;;0
019;HAIDA ANIMAL HEALTH SOLO;;;SOLO;;;;;0;0;0;0;  -   -;14;;0
020;INA PET;;;JAKARTA;;;;;0;0;0;0;  -   -;14;;0
021;SANITISER;;;SEMARANG;;;;;0;0;6236388;0;08-Dec-16;14;;0
022;PET LINZ SURABAYA;;;SURABAYA;;;;;0;0;20432350;0;29-Oct-16;14;;0
023;CP;;;SEMARANG;;;;;0;0;78557210.98;0;07-Jan-17;14;;0
024;PETZ GEAR BENNY / PAWLOSOPHY;;;JAKARTA;;;;;0;0;0;0;17-Sep-16;14;;0
025;CV MENTARI NUSANTARA;;;JATIM;;;;;0;0;4950000;0;10-Jun-16;14;;0
026;SOLI PET / OZYPET;;;JAKARTA;;;;;0;0;0;0;26-May-16;14;;0
027;JULOVA / CHACHA JOGJA;;;JOGJA;;;;;0;0;0;0;11-Dec-16;14;;0
028;ROYAL PET SMART;;;JAKARTA;;;;;0;0;0;0;  -   -;14;;0
029;JAWARA;;;SURABAYA;;;;;0;0;0;0;01-Jul-16;14;;0
030;PET CICITA BAG JOGJA;;;JOGJA;;;;;0;0;0;0;24-Nov-16;14;;0
031;PASIR ZEOLIT;;;;;;;;0;0;0;0;11-Dec-16;14;;0
032;MAXINDO;;;SEMARANG;;;;;0;0;0;0;29-Oct-16;14;;0
133;PT ACIS;;;;;;;;0;0;0;0;21-May-16;14;;0
033;PT SENTRACAHAYA LOKAINDAH;;;;;;;;0;0;40199920;0;08-Dec-16;14;;0
034;PENGANGON;;;;;;;;0;0;0;0;29-Aug-16;14;;0
035;SNACK SURABAYA;;;;;;;;0;0;0;0;01-Jul-16;14;;0
036;MJ HARNES KULIT;;;;;;;;0;0;0;0;01-May-16;14;;0
037;SAFETY FAUNA;;;;;;;;0;0;2358400;0;07-Apr-16;14;;0
038;GOLDEN WESTINDO ARTAJAYA;;;;;;;;0;0;0;0;31-Oct-16;14;;0
039;LIMAN;;;;;;;;0;0;0;0;31-Oct-16;14;;0
040;PHIZER;;;;;;;;0;0;0;0;05-Jun-16;14;;0
041;BALLY PET;;;;;;;;0;0;0;0;01-Jul-16;14;;0
042;NUTRI STAR;;;;;;;;0;0;11880000;0;06-Aug-16;14;;0
043;PT GUYOVITAL;;;;;;;;0;0;0;0;17-Sep-16;14;;0
044;PT SISTAR INDONESIA;SETRA SARI KULON I NO 3;;BANDUNG;;;;;0;0;8040402;0;20-Jan-17;30;;0
